YEAR,AUS,BEL,BGR,CZE,DNK,FIN,FRA,GRC,HND,HUN,IRL,ITA,LTU,LVA,POL,PRT,SLV,SVK,SWE,ESP,DEU,ROU,GBR
2000q1,0.000,0.124,0.000,0.199,0.089,0.065,0.000,0.059,0.547,0.197,0.000,0.064,0.240,0.000,0.131,0.072,0.239,0.318,0.119,0.048,0.012,0.036,0.000
2000q2,0.270,0.000,0.059,0.177,0.744,0.000,0.071,0.067,0.000,0.237,0.165,0.061,0.060,0.210,0.213,0.000,0.452,0.061,0.074,0.033,0.003,0.032,0.000
2000q3,0.000,0.000,0.060,0.063,0.745,0.073,0.072,0.000,0.119,0.050,0.000,0.141,0.061,0.110,0.114,0.000,0.250,0.321,0.143,0.012,0.012,0.075,0.000
2000q4,0.085,0.000,0.130,0.393,0.393,0.000,0.143,0.000,0.000,0.062,0.000,0.126,0.000,0.065,0.000,0.074,0.000,0.254,0.000,0.002,0.019,0.094,0.000
2001q1,0.068,0.000,0.301,0.111,0.345,0.000,0.141,0.147,0.322,0.000,0.330,0.064,0.065,0.193,0.000,0.222,0.000,0.241,0.000,0.015,0.034,0.086,0.000
2001q2,0.000,0.075,0.302,0.188,0.171,0.073,0.000,0.189,0.194,0.115,0.112,0.123,0.198,0.140,0.000,0.148,0.337,0.332,0.069,0.061,0.028,0.047,0.000
2001q3,0.080,0.203,0.063,0.141,0.233,0.075,0.067,0.429,0.000,0.259,0.370,0.119,0.131,0.148,0.000,0.228,0.000,0.474,0.066,0.042,0.064,0.015,0.000
2001q4,0.307,0.143,0.000,0.314,0.000,0.079,0.258,0.470,0.000,0.000,0.685,0.188,0.000,0.146,0.000,0.453,0.272,0.536,0.428,0.056,0.055,0.029,0.000
2002q1,0.136,0.000,0.118,0.424,0.378,0.142,0.202,0.461,0.000,0.222,0.422,0.629,0.262,0.180,0.169,0.468,0.108,0.277,0.406,0.063,0.046,0.048,0.000
2002q2,0.000,0.000,0.054,0.395,0.000,0.183,0.612,0.316,0.000,0.000,0.510,0.551,0.509,0.381,0.000,0.534,0.467,0.000,0.000,0.092,0.105,0.035,0.000
2002q3,0.000,0.168,0.116,0.125,0.000,0.358,0.655,0.000,0.000,0.000,1.280,0.000,0.125,0.246,0.000,0.000,0.000,0.000,0.000,0.039,0.048,0.068,0.000
2002q4,0.061,0.136,0.162,0.000,0.120,0.000,0.236,0.061,0.000,0.000,0.000,0.123,0.000,0.056,0.224,0.000,0.000,0.121,0.516,0.067,0.035,0.030,0.083
2003q1,0.186,0.000,0.000,0.226,0.119,0.000,0.190,0.060,0.111,0.231,0.068,0.126,0.128,0.058,0.176,0.164,0.212,0.065,0.000,0.113,0.032,0.033,0.303
2003q2,0.235,0.145,0.174,0.404,0.197,0.241,0.780,0.361,0.334,0.000,0.150,0.447,0.000,0.110,0.404,0.149,0.185,0.000,0.522,0.133,0.077,0.023,0.347
2003q3,0.240,0.070,0.114,0.251,0.117,0.000,0.353,0.149,0.000,0.057,0.067,0.000,0.055,0.108,0.249,0.134,0.364,0.189,0.433,0.168,0.057,0.009,0.109
2003q4,0.064,0.000,0.113,0.325,0.187,0.000,0.063,0.067,0.000,0.060,0.073,0.374,0.193,0.167,0.351,0.067,0.838,0.062,0.359,0.101,0.032,0.024,0.085
2004q1,0.000,0.212,0.111,0.119,0.000,0.075,0.069,0.196,0.118,0.000,0.000,0.243,0.252,0.119,0.223,0.124,0.427,0.000,0.201,0.050,0.076,0.049,0.000
2004q2,0.065,0.068,0.058,0.318,0.062,0.000,0.069,0.258,0.124,0.092,0.000,0.597,0.183,0.225,0.513,0.136,0.780,0.000,0.067,0.043,0.046,0.023,0.177
2004q3,0.066,0.145,0.000,0.285,0.132,0.000,0.143,0.066,0.000,0.229,0.069,0.254,0.222,0.451,0.171,0.275,0.738,0.061,0.248,0.081,0.016,0.016,0.087
2004q4,0.119,0.000,0.059,0.345,0.126,0.078,0.000,0.223,0.000,0.098,0.153,0.462,0.361,0.186,0.407,0.234,0.483,0.065,0.057,0.037,0.065,0.074,0.111
2005q1,0.056,0.000,0.060,0.135,0.065,0.000,0.197,0.195,0.000,0.000,0.000,0.412,0.178,0.303,0.309,0.345,0.287,0.068,0.000,0.026,0.053,0.059,0.083
2005q2,0.000,0.000,0.434,0.262,0.062,0.000,0.128,0.061,0.000,0.059,0.000,0.056,0.061,0.067,0.234,0.178,0.269,0.064,0.000,0.068,0.044,0.044,0.079
2005q3,0.236,0.221,0.116,0.302,0.457,0.144,0.270,0.118,0.102,0.115,0.184,0.455,0.131,0.213,0.114,0.122,0.000,0.523,0.060,0.089,0.056,0.083,0.082
2005q4,0.109,0.127,0.125,0.115,0.063,0.000,0.193,0.053,0.000,0.063,0.061,0.126,0.064,0.194,0.241,0.300,0.000,0.063,0.058,0.038,0.047,0.061,0.078
2006q1,0.000,0.141,0.063,0.056,0.062,0.000,0.263,0.117,0.000,0.306,0.000,0.224,0.114,0.263,0.229,0.185,0.000,0.184,0.059,0.038,0.018,0.023,0.090
2006q2,0.062,0.000,0.168,0.168,0.000,0.157,0.136,0.000,0.091,0.244,0.121,0.118,0.126,0.302,0.242,0.000,0.187,0.308,0.059,0.014,0.004,0.015,0.169
2006q3,0.181,0.073,0.000,0.423,0.060,0.077,0.134,0.000,0.000,0.243,0.000,0.114,0.181,0.314,0.186,0.000,0.000,0.350,0.059,0.019,0.030,0.040,0.097
2006q4,0.170,0.071,0.064,0.515,0.064,0.000,0.069,0.000,0.000,0.402,0.075,0.000,0.063,0.066,0.063,0.060,0.000,0.247,0.059,0.007,0.027,0.030,0.091
2007q1,0.000,0.000,0.000,0.275,0.126,0.000,0.138,0.000,0.000,0.285,0.068,0.224,0.123,0.000,0.137,0.118,0.000,0.000,0.165,0.031,0.025,0.021,0.094
2007q2,0.064,0.086,0.063,0.266,0.062,0.147,0.129,0.062,0.000,0.300,0.072,0.180,0.057,0.123,0.000,0.179,0.000,0.000,0.060,0.043,0.037,0.018,0.000
2007q3,0.064,0.079,0.307,0.063,0.316,0.075,0.206,0.000,0.000,0.285,0.154,0.180,0.183,0.128,0.131,0.119,0.000,0.060,0.126,0.046,0.059,0.031,0.000
2007q4,0.089,0.081,0.156,0.077,0.513,0.000,0.374,0.000,0.000,0.239,0.000,0.000,0.000,0.186,0.000,0.000,0.000,0.180,0.079,0.042,0.026,0.059,0.000
2008q1,0.000,0.000,0.000,0.090,0.118,0.000,0.308,0.000,0.000,0.679,0.000,0.000,0.235,0.000,0.000,0.000,0.000,0.219,0.365,0.040,0.007,0.046,0.000
2008q2,0.124,0.122,0.000,0.104,0.120,0.121,0.110,0.000,0.000,0.104,0.122,0.099,0.348,0.110,0.097,0.123,0.000,0.213,0.120,0.038,0.046,0.034,0.000
2008q3,0.000,0.000,0.000,0.442,0.000,0.000,0.108,0.000,0.000,0.190,0.000,0.000,0.116,0.000,0.397,0.119,0.133,0.107,0.117,0.080,0.023,0.030,0.000
2008q4,0.123,0.000,0.213,0.216,0.108,0.000,0.105,0.000,0.137,0.321,0.241,0.000,0.000,0.000,0.190,0.230,0.130,0.000,0.107,0.099,0.048,0.081,0.000
2009q1,0.000,0.000,0.106,0.105,0.000,0.110,0.106,0.000,0.146,0.185,0.369,0.204,0.000,0.107,0.276,0.112,0.394,0.215,0.406,0.106,0.086,0.069,0.000
2009q2,0.000,0.117,0.099,0.551,0.109,0.000,0.096,0.000,0.130,0.201,0.316,0.000,0.000,0.092,0.435,0.000,0.124,0.000,0.102,0.081,0.122,0.062,0.634
2009q3,0.000,0.119,0.101,0.000,0.112,0.000,0.101,0.000,0.477,0.388,0.226,0.000,0.000,0.000,0.327,0.000,0.000,0.099,0.105,0.051,0.091,0.076,0.469
2009q4,0.101,0.000,0.000,0.089,0.099,0.306,0.089,0.000,0.235,0.268,0.104,0.000,0.000,0.094,0.239,0.000,0.000,0.091,0.296,0.072,0.088,0.063,0.105
2010q1,0.119,0.000,0.099,0.291,0.204,0.000,0.280,0.000,0.495,0.292,0.000,0.000,0.000,0.100,0.444,0.108,0.118,0.279,0.109,0.088,0.034,0.024,0.106
2010q2,0.000,0.108,0.101,0.585,0.208,0.000,0.237,0.000,0.000,0.358,0.103,0.096,0.000,0.200,0.359,0.092,0.000,0.000,0.113,0.091,0.029,0.058,0.000
2010q3,0.000,0.108,0.099,0.000,0.221,0.000,0.086,0.000,0.475,0.570,0.182,0.257,0.000,0.103,0.173,0.111,0.000,0.102,0.223,0.069,0.010,0.060,0.000
2010q4,0.099,0.117,0.181,0.000,0.416,0.000,0.079,0.000,0.124,0.400,0.000,0.079,0.000,0.207,0.086,0.093,0.118,0.097,0.000,0.122,0.018,0.025,0.114
2011q1,0.000,0.204,0.000,0.000,0.325,0.000,0.087,0.000,0.000,0.295,0.000,0.000,0.000,0.105,0.428,0.000,0.229,0.000,0.000,0.141,0.008,0.023,0.000
2011q2,0.000,0.109,0.000,0.100,0.208,0.109,0.081,0.000,0.241,0.188,0.000,0.000,0.000,0.488,0.252,0.190,0.231,0.000,0.103,0.060,0.022,0.027,0.000
2011q3,0.000,0.213,0.099,0.202,0.287,0.107,0.242,0.352,0.374,0.288,0.000,0.465,0.000,0.106,0.168,0.291,0.117,0.097,0.456,0.103,0.010,0.029,0.000
2011q4,0.103,0.326,0.101,0.000,0.218,0.100,0.360,0.086,0.120,0.394,0.388,0.287,0.000,0.000,0.179,0.207,0.116,0.000,0.112,0.044,0.021,0.029,0.230
2012q1,0.106,0.097,0.098,0.101,0.109,0.187,0.353,0.319,0.000,0.380,0.378,0.176,0.000,0.000,0.090,0.205,0.119,0.000,0.445,0.033,0.027,0.012,0.114
2012q2,0.538,0.341,0.186,0.448,0.230,0.324,0.564,0.689,0.110,0.347,0.488,0.585,0.369,0.000,0.159,0.412,0.115,0.289,0.344,0.095,0.144,0.021,0.000
2012q3,0.532,0.182,0.302,0.156,0.137,0.551,0.365,0.354,0.078,0.532,0.622,0.522,0.219,0.130,0.247,0.179,0.092,0.230,0.187,0.120,0.138,0.104,0.000
2012q4,0.220,0.215,0.070,0.173,0.121,0.341,0.247,0.186,0.172,0.357,0.524,0.519,0.249,0.085,0.059,0.402,0.189,0.056,0.251,0.112,0.120,0.115,0.000
2013q1,0.168,0.249,0.591,0.000,0.303,0.119,0.193,0.094,0.274,0.318,0.228,0.668,0.000,0.139,0.089,0.302,0.340,0.000,0.191,0.056,0.114,0.112,0.000
2013q2,0.446,0.184,0.675,0.201,0.279,0.070,0.222,0.000,0.229,0.524,0.243,0.081,0.324,0.189,0.073,0.198,0.276,0.148,0.405,0.017,0.088,0.100,0.000
2013q3,0.361,0.106,0.686,0.164,0.143,0.091,0.353,0.085,0.306,0.574,0.465,0.181,0.067,0.086,0.000,0.411,0.296,0.102,0.110,0.002,0.069,0.144,0.000
2013q4,0.513,0.309,0.526,0.078,0.000,0.191,0.410,0.194,0.283,0.526,0.277,0.354,0.136,0.190,0.081,0.345,0.366,0.205,0.238,0.081,0.085,0.133,0.193
2014q1,0.220,0.479,0.495,0.068,0.000,0.312,0.302,0.312,0.293,0.169,0.175,0.302,0.053,0.096,0.000,0.314,0.443,0.000,0.350,0.061,0.120,0.099,0.164
2014q2,0.170,0.400,0.344,0.094,0.100,0.221,0.238,0.074,0.231,0.070,0.253,0.310,0.201,0.383,0.287,0.079,0.289,0.127,0.459,0.040,0.112,0.100,0.076
2014q3,0.085,0.072,0.229,0.162,0.212,0.140,0.095,0.113,0.301,0.055,0.067,0.104,0.422,0.345,0.411,0.259,0.358,0.000,0.442,0.011,0.089,0.075,0.000
2014q4,0.160,0.000,0.493,0.084,0.099,0.172,0.139,0.410,0.190,0.089,0.082,0.135,0.209,0.400,0.081,0.310,0.079,0.073,0.426,0.068,0.100,0.061,0.000
2015q1,0.098,0.121,0.386,0.000,0.230,0.000,0.422,0.605,0.111,0.217,0.178,0.074,0.117,0.092,0.242,0.212,0.158,0.241,0.222,0.083,0.101,0.057,0.076
2015q2,0.455,0.000,0.314,0.000,0.475,0.297,0.232,0.561,0.063,0.258,0.241,0.271,0.377,0.324,0.775,0.183,0.139,0.315,0.312,0.070,0.062,0.023,0.000
2015q3,0.497,0.076,0.420,0.252,0.330,0.076,0.135,0.228,0.155,0.000,0.293,0.163,0.300,0.365,0.468,0.332,0.000,0.121,0.462,0.056,0.034,0.028,0.000
2015q4,0.343,0.287,0.320,0.235,0.355,0.482,0.222,0.272,0.379,0.158,0.289,0.400,0.145,0.071,0.390,0.591,0.204,0.272,0.455,0.096,0.067,0.073,0.162
2016q1,0.273,0.000,0.229,0.000,0.243,0.195,0.087,0.544,0.138,0.000,0.211,0.424,0.000,0.254,0.377,0.243,0.338,0.087,0.100,0.206,0.118,0.056,0.257
2016q2,0.639,0.089,0.135,0.000,0.000,0.145,0.000,0.227,0.214,0.000,0.266,0.202,0.057,0.276,0.256,0.148,0.000,0.000,0.220,0.140,0.107,0.042,0.075
2016q3,0.241,0.331,0.192,0.000,1.074,0.329,0.161,0.436,0.085,0.120,0.535,0.424,0.187,0.181,0.126,0.208,0.088,0.000,0.740,0.097,0.060,0.036,0.332
2016q4,0.434,0.110,0.507,0.174,0.555,0.306,0.317,0.248,0.236,0.171,0.339,0.460,0.184,0.187,0.918,0.515,0.089,0.115,0.311,0.106,0.060,0.066,0.194
2017q1,0.362,0.229,0.638,0.144,0.504,0.205,0.231,0.474,0.850,0.176,0.872,0.482,0.462,0.474,0.671,0.421,0.265,0.318,0.297,0.115,0.060,0.069,1.160
2017q2,0.080,0.000,0.225,0.154,0.335,0.000,0.170,0.096,0.322,0.164,0.351,0.276,0.149,0.290,0.262,0.132,0.698,0.125,0.086,0.080,0.038,0.028,0.505
2017q3,0.161,0.000,0.251,0.000,0.375,0.000,0.113,0.105,0.306,0.000,0.383,0.318,0.071,0.150,0.163,0.000,0.482,0.000,0.000,0.080,0.047,0.007,0.299
2017q4,0.268,0.081,0.312,0.077,0.256,0.079,0.187,0.166,0.398,0.080,0.424,0.440,0.113,0.124,0.227,0.144,0.309,0.090,0.158,0.152,0.205,0.121,0.000
2018q1,0.000,0.000,0.118,0.000,0.142,0.076,0.119,0.236,0.722,0.000,0.220,0.397,0.248,0.375,0.151,0.000,0.401,0.069,0.000,0.135,0.169,0.101,0.000
2018q2,0.246,0.086,0.223,0.283,0.071,0.076,0.128,0.440,0.121,0.082,0.226,0.295,0.098,0.128,0.241,0.159,0.125,0.151,0.167,0.135,0.117,0.084,0.000
2018q3,0.085,0.080,0.191,0.067,0.220,0.072,0.124,0.150,0.756,0.067,0.278,0.267,0.164,0.209,0.141,0.142,0.678,0.061,0.266,0.080,0.085,0.052,0.212
2018q4,0.066,0.202,0.090,0.000,0.252,0.082,0.059,0.076,0.149,0.000,0.265,0.168,0.064,0.170,0.083,0.148,0.075,0.000,0.150,0.088,0.099,0.019,0.082
2019q1,0.192,0.099,0.298,0.311,0.302,0.232,0.320,0.280,0.815,0.094,0.746,0.266,0.632,0.507,0.271,0.292,0.710,0.000,0.105,0.113,0.180,0.052,0.660
2019q2,0.110,0.144,0.065,0.214,0.402,0.223,0.467,0.358,0.289,0.140,1.004,0.423,0.281,0.227,0.073,0.317,0.000,0.251,0.252,0.131,0.229,0.118,0.469
2019q3,0.428,0.378,0.243,0.203,0.196,0.483,0.135,0.333,0.631,0.173,1.194,0.275,0.676,0.532,0.261,0.416,0.521,0.247,0.108,0.127,0.183,0.159,0.301
2019q4,0.414,0.340,0.364,0.214,0.385,0.658,0.465,0.370,0.726,0.080,1.433,0.865,0.401,0.429,0.355,0.476,0.187,0.460,0.000,0.171,0.192,0.175,0.352
2020q1,0.353,0.616,0.151,0.104,0.166,0.623,0.539,0.378,0.294,0.083,1.058,0.546,0.489,0.475,0.349,0.468,0.277,0.569,0.188,0.163,0.199,0.160,0.350
2020q2,0.477,0.325,0.190,0.347,0.530,0.481,0.352,0.385,0.394,0.256,0.459,0.397,0.300,0.284,0.219,0.480,0.365,0.066,0.642,0.147,0.172,0.129,0.224
2020q3,0.350,0.266,0.302,0.335,0.381,0.398,0.250,0.379,0.176,0.303,0.331,0.309,0.313,0.218,0.535,0.317,0.100,0.264,0.422,0.103,0.162,0.128,0.488
2020q4,0.158,0.221,0.156,0.344,0.265,0.320,0.219,0.398,0.234,0.106,0.220,0.063,0.187,0.293,0.241,0.368,0.298,0.119,0.256,0.053,0.090,0.086,0.659
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
